,Datetime,headline,link
0,2025-05-23 08:40:00,Gold Eyes Best Week in a Month: Will ETFs Sustain the Rally?,https://finviz.com/news/65080/gold-eyes-best-week-in-a-month-will-etfs-sustain-the-rally
1,2025-05-22 09:45:00,"Apple, Tesla and Nvidia Shares to Trade as Digital Tokens on Crypto Exchange Kraken",https://finance.yahoo.com/m/160483bd-dcd3-3d15-aed2-d3e1b3a7258b/apple%2C-tesla-and-nvidia.html
2,2025-05-20 05:09:00,"Here's Another Piece of Evidence That Bitcoin Is Becoming ""Digital Gold""",https://finviz.com/news/61342/heres-another-piece-of-evidence-that-bitcoin-is-becoming-digital-gold
3,2025-05-14 16:46:00,Bridgewater reveals its top buys and sells of Q1 in latest filing,https://finance.yahoo.com/video/bridgewater-reveals-top-buys-sells-204637794.html
4,2025-05-14 16:28:00,Here's Why You Should Stick With Gold ETFs,https://finviz.com/news/57972/heres-why-you-should-stick-with-gold-etfs
5,2025-05-14 08:00:00,Gold & the Fed: Investing in the metal amid rate cut hopes,https://finance.yahoo.com/video/gold-fed-investing-metal-amid-120018810.html
6,2025-05-12 12:52:00,ETFs on the Move Post U.S.-China Trade Deal,https://finviz.com/news/54987/etfs-on-the-move-post-us-china-trade-deal
7,2025-05-12 06:53:00,3 ETF Strategies to Follow on Temporary U.S.-China Trade Deal,https://finviz.com/news/54436/3-etf-strategies-to-follow-on-temporary-us-china-trade-deal
8,2025-05-08 07:00:00,Institutions Skipped the Rally: Where the Money Went,https://finviz.com/news/51328/institutions-skipped-the-rally-where-the-money-went
9,2025-05-08 03:00:00,Gold's Strange Behavior,https://seekingalpha.com/article/4783452-golds-strange-behavior?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
10,2025-05-07 19:57:00,Gladstone Land: Farm Land REIT Struggles After IPO,https://seekingalpha.com/article/4783265-gladstone-land-farm-land-reit-struggles-after-ipo?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
11,2025-05-07 18:35:00,GLD: We Are Entering Speculative Territory (Rating Downgrade),https://seekingalpha.com/article/4783231-gld-we-are-entering-speculative-territory-rating-downgrade?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
12,2025-05-07 17:47:00,Gold slides on U.S.-China trade talk hopes but analysts say still well-supported,https://seekingalpha.com/news/4443905-gold-slides-on-us-china-trade-talk-hopes-but-analysts-say-still-well-supported?utm_source=finviz.com&utm_medium=referral&feed_item_type=news
13,2025-05-07 10:34:00,The 4-Fund Trump Portfolio,https://seekingalpha.com/article/4782889-the-4-fund-trump-portfolio?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
14,2025-05-07 10:00:00,How to Play the Gold Rush With ETFs,https://finviz.com/news/50079/how-to-play-the-gold-rush-with-etfs
15,2025-05-07 08:45:00,Gold's Record Run in 2025: Here Are 3 Ways to Ride the Surge,https://finviz.com/news/49632/golds-record-run-in-2025-here-are-3-ways-to-ride-the-surge
16,2025-05-07 08:00:00,"Oil, Gold ETFs Rise on Commodity Resurgence",https://finance.yahoo.com/m/f2a3f81d-8936-367c-82c8-3e537f0766be/oil%2C-gold-etfs-rise-on.html
17,2025-05-07 07:30:00,"Chart Of The Day: As Dollar Gets Dumped, Alternative Hunt Heats Up",https://seekingalpha.com/article/4782749-chart-of-the-day-as-dollar-gets-dumped-alternative-hunt-heats-up?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
18,2025-05-07 06:39:00,2025 ETF Inflows Are Recognition Of The Golden Bull,https://seekingalpha.com/article/4782803-2025-etf-inflows-recognition-golden-bull?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
19,2025-05-07 06:01:00,Commodity Roundup: Gold prices ease; speculators hold large longs in coffee and cattle,https://seekingalpha.com/news/4442786-commodity-roundup-gold-prices-ease-speculators-hold-large-longs-in-coffee-and-cattle?utm_source=finviz.com&utm_medium=referral&feed_item_type=news
20,2025-05-07 05:30:00,Still On The Sidelines? Why Gold Belongs In Your Portfolio Today,https://seekingalpha.com/article/4782797-still-on-sidelines-gold-belongs-your-portfolio-today?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
21,2025-05-05 15:09:00,"Gold, Equity, Bonds: Something's Gotta Give - And I Think It's Bonds",https://seekingalpha.com/article/4781892-gold-equity-bonds-somethings-gotta-give-and-i-think-its-bonds?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
22,2025-05-05 05:30:00,"International Returns Starting To Shine, But Probably Not Like March 2000 Through 2007",https://seekingalpha.com/article/4781696-international-returns-starting-to-shine-probably-not-like-march-2000-through-2007?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
23,2025-05-04 23:27:00,"Gold Stock Correction On Cue, Bull Far From Over",https://seekingalpha.com/article/4781668-gold-stock-correction-necessary-bull-far-from-over?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
24,2025-05-04 12:53:00,The Economic Order Is Changing - Here's How We're Positioning,https://seekingalpha.com/article/4781626-economic-order-changing-how-were-positioning?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
25,2025-05-04 10:50:00,Trump's First 100 Days Are Behind Us - Dawn Of A New Bull Market?  (Technical Analysis),https://seekingalpha.com/article/4781605-trumps-first-100-days-are-behind-us-dawn-of-new-bull-market-technical-analysis?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
26,2025-05-04 10:10:00,The Greed And Fear Tango: The Markets In April 2025,https://seekingalpha.com/article/4781606-the-greed-and-fear-tango-markets-in-april-2025?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
27,2025-05-04 08:01:00,Gold Price And Investment Outlook: 2025 And Beyond,https://seekingalpha.com/article/4781581-gold-price-and-investment-outlook-2025-beyond?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
28,2025-05-03 22:24:00,"The 1-Minute Market Report May 4, 2025",https://seekingalpha.com/article/4781522-the-1-minute-market-report-may-4-2025?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
29,2025-05-03 07:00:00,The Only 2 Investments You Need To Retire,https://seekingalpha.com/article/4781497-only-2-investments-you-need-to-retire?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
30,2025-05-03 03:40:00,Weekly Commentary: The Typical And Atypical,https://seekingalpha.com/article/4781463-weekly-commentary-the-typical-and-atypical?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
31,2025-05-03 00:30:00,Markets Weekly Outlook - Central Banks In Focus As Risk Appetite Improves,https://seekingalpha.com/article/4781411-markets-weekly-outlook-central-banks-in-focus-risk-appetite-improves?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
32,2025-05-02 18:10:00,Leveraged ETFs Report And Focus On SPUU: Not A Long-Term Investment,https://seekingalpha.com/article/4781376-leveraged-etfs-report-and-focus-on-spuu-not-a-long-term-investment?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
33,2025-05-02 17:41:00,Gold: Why I Am Buying The Dip,https://seekingalpha.com/article/4781360-gold-why-i-am-buying-the-dip?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
34,2025-05-02 14:12:00,Brad Simpson On How Investors Can Find Order Within The Current Market Disorder,https://seekingalpha.com/article/4781286-brad-simpson-on-how-investors-can-find-order-within-current-market-disorder?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
35,2025-05-02 11:30:00,A Major Market Disruption Is Likely Coming,https://seekingalpha.com/article/4780690-major-market-disruption-is-likely-coming?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
36,2025-05-02 10:43:00,The Current Rally Is Whistling Past The Graveyard,https://seekingalpha.com/article/4781110-the-current-rally-is-whistling-past-the-graveyard?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
37,2025-05-02 03:25:00,Aim To Keep Risk Modest And Quality High,https://seekingalpha.com/article/4781002-aim-keep-risk-modest-quality-high?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
38,2025-05-01 15:20:00,Portfolio Spring Cleaning With Contrarian Clem Chambers,https://seekingalpha.com/article/4780726-portfolio-spring-cleaning-with-contrarian-clem-chambers?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
39,2025-05-01 15:08:00,Gold Forecast: Headwinds As Risk Appetite Improves,https://seekingalpha.com/article/4780712-gold-forecast-headwinds-as-risk-appetite-improves?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
40,2025-05-01 14:38:00,Gold In A Fragmented World: Safe Haven And Strategic Asset,https://seekingalpha.com/article/4780679-gold-i-fragmented-world-safe-haven-strategic-asset?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
41,2025-05-01 09:15:00,Major Asset Classes - April 2025 Performance Review,https://seekingalpha.com/article/4780409-major-asset-classes-april-2025-performance-review?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
42,2025-05-01 05:20:00,Gold Demand Trends: Q1 2025,https://seekingalpha.com/article/4780346-gold-demand-trends-q1-2025?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
43,2025-04-30 17:28:00,"Gold soars, tech stumbles: The market story of Trump's first 100 days in 1 chart",https://finance.yahoo.com/news/gold-soars-tech-stumbles-the-market-story-of-trumps-first-100-days-in-1-chart-212802947.html
44,2025-04-30 15:12:00,The U.S. Dollar And Gold Are Building Energy For A Major Move (Technical Analysis),https://seekingalpha.com/article/4780024-us-dollar-gold-building-energy-for-major-move-technical-analysis?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
45,2025-04-30 12:56:00,GLD: The Global Economic Death Spiral Accelerates,https://seekingalpha.com/article/4779865-gld-the-global-economic-death-spiral-accelerates?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
46,2025-04-30 11:50:00,Investment Implications If The U.S. Dollar's Currency Reserve Status Continues To Wane,https://seekingalpha.com/article/4779844-investment-implications-if-us-dollar-currency-reserve-status-continues-to-wane?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
47,2025-04-30 07:37:00,"$4,000 Gold? Here Is Why I'm Stepping Back Now",https://seekingalpha.com/article/4779652-4000-gold-here-is-why-i-am-stepping-back-now?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
48,2025-04-30 04:55:00,Gold Has Fallen Back from Record Highs. The Fear Trade Could Send It Higher Again.,https://finance.yahoo.com/m/cf00271a-380b-3651-8f01-3f56ad7590df/gold-has-fallen-back-from.html
49,2025-04-30 04:50:00,Billionaires Sell Nvidia Stock Before the Market Crash and Buy a Golden ETF Up 166% in 10 Years,https://finviz.com/news/39620/billionaires-sell-nvidia-stock-before-the-market-crash-and-buy-a-golden-etf-up-166-in-10-years
50,2025-04-29 16:17:00,Should You Buy Gold or Gold Miners Now?,https://finviz.com/news/38106/should-you-buy-gold-or-gold-miners-now
51,2025-04-29 14:31:00,Gold Set An Inflation-Adjusted Price Record Last Week,https://seekingalpha.com/article/4779324-gold-set-an-inflation-adjusted-price-record-last-week?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
52,2025-04-29 10:25:00,"Can Gold Reach $16,000?",https://seekingalpha.com/article/4779144-can-gold-reach-16000?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
53,2025-04-29 08:12:00,Gold Outperforms... Will That Continue?,https://seekingalpha.com/article/4779081-gold-outperforms-will-that-continue?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
54,2025-04-29 08:00:00,Time to Shun Gold & Buy These High-Dividend Equity ETFs?,https://finviz.com/news/37382/time-to-shun-gold-buy-these-high-dividend-equity-etfs
55,2025-04-29 08:00:00,GDMN: Good Leverage On Gold And Gold Miners,https://seekingalpha.com/article/4779018-gdmn-good-leverage-on-gold-and-gold-miners?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
56,2025-04-29 05:05:00,Commodities: Oil Edges Lower On Weakening Demand Concerns,https://seekingalpha.com/article/4779015-commodities-oil-edges-lower-on-weakening-demand-concerns?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
57,2025-04-28 14:05:00,Another Bessent Bounce! What Will It Take To Make #3 A Bottom?,https://seekingalpha.com/article/4778864-another-bessent-bounce-what-will-it-take-to-make-a-bottom?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
58,2025-04-28 10:25:00,"The 1-Minute Market Report April 27, 2025",https://seekingalpha.com/article/4778792-the-1-minute-market-report-april-27-2025?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
59,2025-04-28 10:21:00,Gold Could Hit $4000 As Investors Rethink Risk In A Shifting Economy,https://seekingalpha.com/article/4778766-gold-price-could-hit-4000-as-investors-rethink-risk-in-shifting-economy?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
60,2025-04-28 09:56:00,Did Someone Call The Comex Bluff?,https://seekingalpha.com/article/4778780-did-someone-call-comex-bluff?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
61,2025-04-28 08:09:00,These 3 ETFs Let You Hold Real Gold Without the Vault,https://finviz.com/news/43005/these-3-etfs-let-you-hold-real-gold-without-the-vault
62,2025-04-28 06:15:00,Commodities: Oil Steady As Market Awaits Cues,https://seekingalpha.com/article/4778712-commodities-oil-steady-market-awaits-cues?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
63,2025-04-28 05:30:00,U.S. Vs. Canada: Where Should Investors Turn Now?,https://seekingalpha.com/article/4778672-us-vs-canada-where-investors-turn-now?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
64,2025-04-27 12:00:00,"The More It Underperforms, The More I Buy",https://seekingalpha.com/article/4778527-more-it-underperform-more-buy?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
65,2025-04-26 06:59:00,SIL: Silver's Revenge On Gold,https://seekingalpha.com/article/4778468-sil-etf-silver-revenge-on-gold?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
66,2025-04-26 06:45:00,Gaining From Yesterday's Gold Surges With Miners,https://seekingalpha.com/article/4778471-gaining-from-yesterday-gold-surges-with-miners?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
67,2025-04-26 05:00:00,"Better Buy Now: Gold at $3,500 or an S&P 500 Index Fund?",https://finviz.com/news/34849/better-buy-now-gold-at-3500-or-an-sp-500-index-fund
68,2025-04-26 04:22:00,Weekly Commentary: Hooked On Hedge Fund Leverage,https://seekingalpha.com/article/4778456-weekly-commentary-hooked-on-hedge-fund-leverage?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
69,2025-04-26 03:00:00,Gold Isn't Going Up - Your Money Is Just Losing Value,https://seekingalpha.com/article/4778446-gold-not-going-up-money-losing-value?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
70,2025-04-25 15:00:00,"IVV, VOO Help Global ETF Inflows Reach New Heights in Q1",https://finance.yahoo.com/m/8854a610-d117-3ea8-926c-84a2cf1de2b3/ivv%2C-voo-help-global-etf.html
71,2025-04-25 14:22:00,Gold Has Been Pushed to Extremes. What to Do Now.,https://finance.yahoo.com/m/a8dd9283-09d1-3d50-af33-e884195611ef/gold-has-been-pushed-to.html
72,2025-04-25 10:00:00,Meet the Historically Boring Asset That Has Risen 610% Since 2000 and Crushed the S&P 500 Index,https://finviz.com/news/34258/meet-the-historically-boring-asset-that-has-risen-610-since-2000-and-crushed-the-sp-500-index
73,2025-04-25 09:00:00,Gold's Reversal Of Fortune Is About To Hit Hard (Technical Analysis),https://seekingalpha.com/article/4778104-gold-reversal-of-fortune-about-to-hit-hard-technical-analysis?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
74,2025-04-25 08:57:00,How to Invest in Gold,https://finance.yahoo.com/m/f77d8490-0f7e-3d17-9692-a62b4d3f1266/how-to-invest-in-gold.html
75,2025-04-25 07:43:00,"The New Gold Story: Who's Buying, And Why",https://seekingalpha.com/article/4778123-new-gold-story-whos-buying-and-why?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
76,2025-04-24 15:08:00,ETFs to Defend Your Portfolio Against Inflation,https://finviz.com/news/33693/etfs-to-defend-your-portfolio-against-inflation
77,2025-04-24 14:05:00,Explaining The Rally In Gold And Whether The Run Can Continue,https://seekingalpha.com/article/4777797-explaining-rally-in-gold-and-whether-the-run-can-continue?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
78,2025-04-24 12:41:00,The Switch: The Changing Conditions Behind The New GDPNow Model,https://seekingalpha.com/article/4777738-switch-changing-conditions-behind-new-gdpnow-model?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
79,2025-04-24 06:12:00,Tariffied Of Market Whipsawing? Consider These 2 ETFs,https://seekingalpha.com/article/4777055-tariffied-of-market-whipsawing-consider-these-two-etfs?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
80,2025-04-24 05:50:00,Market Outlook: A Bumpy Path,https://seekingalpha.com/article/4777493-market-outlook-bumpy-path?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
81,2025-04-24 03:05:00,Navigating Market Volatility And Tariff Policy: Positioning Portfolios Amid Uncertainty,https://seekingalpha.com/article/4777460-navigating-market-volatility-tariff-policy-positioning-portfolios-amid-uncertainty?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
82,2025-04-24 01:55:00,Commodities: All Is Not Well Within OPEC+,https://seekingalpha.com/article/4777451-commodities-all-not-well-within-opec-plus?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
83,2025-04-23 22:45:00,Gold Plummets... So Why Are Gold Bulls Happy?,https://seekingalpha.com/article/4777436-gold-plummets-so-why-are-gold-bulls-happy?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
84,2025-04-23 19:15:00,$1.2 Billion Pulled From Top Gold ETF as Markets Rally,https://finance.yahoo.com/m/e0d196ec-d7e9-3ff0-a37d-fe3ecfc3d4d2/%241.2-billion-pulled-from-top.html
85,2025-04-23 16:29:00,Gold Is Having a Moment. How Long It Can Last.,https://finance.yahoo.com/m/a8dd9283-09d1-3d50-af33-e884195611ef/gold-is-having-a-moment.-how.html
86,2025-04-23 16:18:00,Barrick Gold: 2025 Is A Pivotal Year For Shareholders,https://seekingalpha.com/article/4777334-barrick-gold-2025-is-a-pivotal-year-for-shareholders?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
87,2025-04-23 15:17:00,"The Fed Can Ease Policy, And It Won't Be Bad",https://seekingalpha.com/article/4777305-the-fed-can-ease-policy-and-it-wont-be-bad?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
88,2025-04-23 10:14:00,SGDJ: Why Gold Is Due For A Breather,https://seekingalpha.com/article/4777174-sgdj-why-gold-is-due-for-a-breather?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
89,2025-04-23 09:30:00,If I Could Only Own 3 Funds 'Forever' It Would Be These,https://seekingalpha.com/article/4777173-could-only-own-3-funds-forever?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
90,2025-04-23 09:17:00,"The Zacks Analyst Blog Highlights GLD, IAUM, ALDM and IAU",https://finviz.com/news/30983/the-zacks-analyst-blog-highlights-gld-iaum-aldm-and-iau
91,2025-04-23 08:40:00,Gold Is No Longer Safe: Why I'm Taking Profits On Gold And Miners,https://seekingalpha.com/article/4777106-gold-no-longer-safe-why-im-taking-profits-on-gold-and-miners?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
92,2025-04-23 07:30:00,Reversal Of Fortune,https://seekingalpha.com/article/4777111-reversal-of-fortune?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
93,2025-04-23 06:21:00,American Exceptionalism: Gone In 90 Days,https://seekingalpha.com/article/4777100-american-exceptionalism-gone-in-90-days?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
94,2025-04-22 23:34:00,GDXY: YieldMax Strikes Out On Gold,https://seekingalpha.com/article/4777025-gdxy-yieldmax-strikes-out-on-gold?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
95,2025-04-22 17:52:00,"Gold Is Booming, Can B2Gold Boom Even Harder?",https://seekingalpha.com/article/4776971-gold-is-booming-can-b2gold-boom-even-harder?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
96,2025-04-22 13:00:00,Gold ETFs Surge on Safe-Haven Demand: Is a Pullback Coming?,https://finviz.com/news/30683/gold-etfs-surge-on-safe-haven-demand-is-a-pullback-coming
97,2025-04-22 11:00:00,5 ETFs Scaling New Highs Amid Market Turmoil,https://finviz.com/news/30747/5-etfs-scaling-new-highs-amid-market-turmoil
98,2025-04-22 10:13:00,Tracking Global Markets Since 'Liberation Day',https://seekingalpha.com/article/4776829-tracking-global-markets-since-liberation-day?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
99,2025-04-22 09:21:00,Expected Stock Dispersion Near 5Y High As Earnings Under Way,https://seekingalpha.com/article/4776812-expected-stock-dispersion-near-5y-high-as-earnings-under-way?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
